name,address_street,address_suite,address_zip,inspection_date,inspection_score,inspection_type
ADAMSON HIGH SCHOOL,201 E NINTH ST,,75203,2013-04-16,91,routine
HECTOR GARCIA MIDDLE SCHOOL,700 E EIGHTH ST,,75203,2013-04-16,93,routine
J ERIK JONSSON COMMUNITY,106 E TENTH ST,,75203,2013-04-16,93,routine
BASKIN ROBBINS,5500 GREENVILLE AVE,#501,75206,2013-04-16,91,routine
CANDLEROOM,5039 WILLIS AVE,A,75206,2013-04-16,90,routine
ROYAL THAI,5500 GREENVILLE AVE,#608,75206,2013-04-16,82,routine
TRINITY BASIN PREPARATORY,808 N EWING AVE,,75208,2013-04-16,97,routine
MI COCINA,6332 LA VISTA DR,,75214,2013-04-16,97,routine
BABY BACK SHAK,1800 S AKARD ST,,75215,2013-04-16,83,routine
EMILIOS RESTAURANT,2016 S ERVAY ST,,75215,2013-04-16,74,routine
FROSTY FREEZE,1202 S AKARD ST,,75215,2013-04-16,100,routine
S CENTRAL 1ST GAS BEER & WINE,2111 S CENTRAL EXPW,,75215,2013-04-16,70,routine
STOP AND SAVE FOOD STORE,3525 SUNNYVALE ST,,75216,2013-04-16,80,routine
FAMILY DOLLAR #1580,1515 S BUCKNER BLVD,253,75217,2013-04-16,96,routine
H GRADY SPRUCE HIGH,9733 S SEAGOVILLE RD,,75217,2013-04-16,100,routine
JULIUS DORSEY ELEMENTARY,133 N ST AUGUSTINE RD,,75217,2013-04-16,97,routine
TIZON TAKOZ ARANDAZ,8921 LAKE JUNE RD,,75217,2013-04-16,90,routine
VERONA ITALIAN CAFE,9039 GARLAND RD,,75218,2013-04-16,87,routine
ALEXANDRE'S,4026 CEDAR SPRINGS RD,#B,75219,2013-04-16,97,routine
C-STORE #12,4040 CEDAR SPRINGS RD,,75219,2013-04-16,83,routine
CAFE BRAZIL,3847 CEDAR SPRINGS RD,,75219,2013-04-16,85,routine
DALLAS WOODY'S,4011 CEDAR SPRINGS RD,,75219,2013-04-16,96,routine
PARIGI (CAFETERIA),3819 MAPLE AVE,,75219,2013-04-16,87,routine
CLUB 2009,10707 FINNELL ST,,75220,2013-04-16,83,routine
ESCAPADE,2551 LOMBARDY LN,#10,75220,2013-04-16,93,routine
ESCAPADE 2001,10701 FINNELL ST,,75220,2013-04-16,87,routine
RESTAURANT Y TAQUERIA LUP,9628 OVERLAKE DR,100,75220,2013-04-16,82,follow-up
DON'S FOOD STORE,825 S CARROLL AVE,,75223,2013-04-16,83,routine
13530 TIGER MART #68,145 W ANN ARBOR AVE,,75224,2013-04-16,84,follow-up
ALTERNATIVE CENTER @ VILLAGE FAIR,4949 VILLAGE FAIR DR,,75224,2013-04-16,94,routine
JOHN W CARPENTER SCH,2121 TOSCA LN,,75224,2013-04-16,97,routine
MI SAZON MEXICAN RESTAURANT,3505 S POLK ST,,75224,2013-04-16,80,routine
TAQUERIA RICONADA,2306 MOUNTAIN LAKE RD,,75224,2013-04-16,80,routine
TOP POT DOUGHNUTS,8611 HILLCREST RD,#195,75225,2013-04-16,87,routine
CAFE GOURMET ON THE GO,8115 PRESTON RD,#140,75225,2013-04-16,80,routine
CHIPOTLE MEXICAN GRILL,8301 WESTCHESTER DR,,75225,2013-04-16,92,routine
FLYING FISH,6126 LUTHER LN,#B,75225,2013-04-16,90,routine
MARSALA WOK,6106 LUTHER LN,,75225,2013-04-16,82,routine
PEI WEI ASIAN DINER,8305 WESTCHESTER DR,,75225,2013-04-16,80,routine
SALATA,8307 WESTCHESTER DR,#B,75225,2013-04-16,86,routine
JENAS ALLGOOD CAFE,2934 MAIN ST,,75226,2013-04-16,73,routine
WALGREENS #09015,4702 N JIM MILLER RD,,75227,2013-04-16,100,routine
CVS PHARMACY #6966,6004 SAMUELL BLVD,,75228,2013-04-16,91,routine
FAMILY DOLLAR,2417 GUS THOMASSON RD,,75228,2013-04-16,93,routine
FAMILY DOLLAR #7426,9840 FERGUSON RD,,75228,2013-04-16,96,routine
C-STORE KITCHEN,2903 ROYAL LN,,75229,2013-04-16,87,routine
C-STORE ROYAL DENNIS,2903 ROYAL LN,,75229,2013-04-16,94,routine
CRISTINA RESTAURANT,10909 WEBB CHAPEL RD,#155,75229,2013-04-16,80,routine
MEI MEI BUFFET,10455 N CENTRAL EXPW,123,75231,2013-04-16,76,routine
DAVID W. CARTER HIGH SCHOOL,1819 W WHEATLAND RD,,75232,2013-04-16,97,routine
KROGER #511 BAKERY,10677 E NORTHWEST HWY,300,75238,2013-04-16,94,routine
KROGER #511 GROCERY,10677 E NORTHWEST HWY,300,75238,2013-04-16,90,routine
KROGER #511 MEAT/ SEAFOOD,10677 E NORTHWEST HWY,300,75238,2013-04-16,94,routine
KROGER SHUSHI,10677 E NORTHWEST HWY,300,75238,2013-04-16,94,routine
GATEWAY CHARTER ACADEMY,6103 HOUSTON SCHOOL RD,,75241,2013-04-16,91,routine
EUREST DINING SERVICE,13510 N CENTRAL EXPW,,75243,2013-04-16,84,routine
